id,regionname,countryshortname,project_name,sector1,sector2,public_disclosure_date,approvalyear,effectiveyear,closingyear,boardapprovaldate,loan_effective_date,closingdate,duration_years,cost_wb,cost_non_wb,cost_wb_ratio,cost_non_wb_ratio,totalcost_initial,totalcost_final,cost1_wb_ibrd,cost2_wb_ida,cost3_grant,cost123_total,lendinginstr,envassesmentcategorycode,supplementprojectflg,projectfinancialtype
P000306,Western and Central Africa,Burkina Faso,BF-Ouaga Water Suply (FY01),"Water, Sanitation and Waste Management",Water Supply,1996-03-06,2001,2001,2007,2001-03-20,2001-10-01,2007-12-31,6.8," 135,880,000 "," 70,000,000 ", 0.66 , 0.34 ," 205,880,000 "," 205,880,000 ", -   ," 70,000,000 "," 130,520,000 "," 200,520,000 ",Specific Investment Loan,A,N,Other
P000528,Western and Central Africa,Chad,CHAD PETROLEUM AND POWER ENGINEERING,Energy and Extractives,Oil and Gas,1990-11-20,1990,1991,2001,1990-11-20,1991-03-15,2001-12-31,11.1," 3,200,000 "," 11,000,000 ", 0.23 , 0.77 ," 14,200,000 "," 15,000,000 ", -   ," 11,000,000 "," 3,000,000 "," 14,000,000 ",Specific Investment Loan,C,N,Other
P000734,Eastern and Southern Africa,Ethiopia,ER ROAD REHABILITATION,Transportation,Roads and highways,1992-11-19,1992,1993,2002,1992-11-19,1993-06-04,2002-12-31,10.1," 11,560,000 "," 95,970,000 ", 0.11 , 0.89 ," 107,530,000 "," 107,530,000 ", -   ," 95,970,000 ", -   ," 95,970,000 ",Specific Investment Loan,B,N,IDA
P000926,Western and Central Africa,Ghana,GH-Thermal Power SIL 5 (FY95),Energy and Extractives,Power,1994-10-31,1995,1995,2006,1995-02-16,1995-11-17,2006-12-31,11.9," 135,000,000 "," 175,600,000 ", 0.43 , 0.57 ," 310,600,000 "," 414,300,000 ", -   ," 175,600,000 "," 135,000,000 "," 310,600,000 ",Specific Investment Loan,B,N,Other
P000953,Western and Central Africa,Ghana,NAT'L ELECTRIFICATION,Energy and Extractives,Power,1993-03-04,1993,1994,2000,1993-03-04,1994-04-15,2000-03-31,7.1," 55,400,000 "," 80,000,000 ", 0.41 , 0.59 ," 135,400,000 "," 135,400,000 ", -   ," 80,000,000 "," 55,400,000 "," 135,400,000 ",Sector Investment and Maintenance Loan,B,N,IDA
P001409,Eastern and Southern Africa,Lesotho,Hiland Water 1B Project,"Water, Sanitation and Waste Management",Water Supply,1998-06-04,1998,1999,2006,1998-06-04,1999-06-09,2006-12-31,8.6," 253,000,000 "," 36,000,000 ", 0.88 , 0.12 ," 289,000,000 "," 1,132,199,940 "," 36,000,000 ", -   ," 156,000,000 "," 192,000,000 ",Specific Investment Loan,A,N,Other
P001533,Eastern and Southern Africa,Madagascar,MG-Energy Sec Dev Prj (FY96),Energy and Extractives,Power,1994-10-31,1996,1996,2005,1996-04-16,1996-08-29,2005-12-31,9.7," 59,600,000 "," 46,000,000 ", 0.56 , 0.44 ," 105,600,000 "," 132,500,000 ", -   ," 46,000,000 "," 59,600,000 "," 105,600,000 ",Sector Investment and Maintenance Loan,B,N,Other
P001662,Eastern and Southern Africa,Malawi,MW POWER V,Energy and Extractives,Power,1992-06-17,1992,1993,2000,1992-06-17,1993-12-21,2000-06-30,8.0," 73,300,000 "," 55,000,000 ", 0.57 , 0.43 ," 128,300,000 "," 140,300,000 ", -   ," 55,000,000 "," 73,300,000 "," 128,300,000 ",Specific Investment Loan,A,N,Other
P001667,Eastern and Southern Africa,Malawi,MW-National Water Development (BD FY95),"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1995,1996,2003,1995-06-28,1996-05-01,2003-12-31,8.5," 5,300,000 "," 79,200,000 ", 0.06 , 0.94 ," 84,500,000 "," 84,500,000 ", -   ," 79,200,000 "," 5,300,000 "," 84,500,000 ",Specific Investment Loan,B,N,IDA
P001730,Western and Central Africa,Mali,ML TRANSPORT SECTOR,Transportation,Roads and highways,1994-10-31,1994,1995,2004,1994-05-26,1995-04-13,2004-12-31,10.6," 192,900,000 "," 65,000,000 ", 0.75 , 0.25 ," 257,900,000 "," 305,700,000 ", -   ," 65,000,000 "," 192,900,000 "," 257,900,000 ",Specific Investment Loan,A,N,Other
P002084,Western and Central Africa,Nigeria,WATER REHAB,"Water, Sanitation and Waste Management",Water Supply,1991-05-21,1991,1992,2001,1991-05-21,1992-08-27,2001-06-30,10.1," 4,500,000 "," 256,000,000 ", 0.02 , 0.98 ," 260,500,000 "," 306,700,000 "," 256,000,000 ", -   ," 4,500,000 "," 260,500,000 ",Sector Investment and Maintenance Loan,C,N,IBRD
P002238,Eastern and Southern Africa,Rwanda,RW TRANSPORT SECTOR,Transportation,Roads and highways,1990-05-22,1990,1991,2002,1990-05-22,1991-03-29,2002-04-30,11.9," 50,800,000 "," 40,000,000 ", 0.56 , 0.44 ," 90,800,000 "," 148,900,000 ", -   ," 40,000,000 "," 50,800,000 "," 90,800,000 ",Sector Investment and Maintenance Loan,B,N,Other
P002346,Western and Central Africa,Senegal,SN-Water Sector (BD FY95),"Water, Sanitation and Waste Management",Sanitation,1995-02-23,1995,1996,2004,1995-06-29,1996-07-12,2004-06-30,9.0," 164,900,000 "," 100,000,000 ", 0.62 , 0.38 ," 264,900,000 "," 290,100,000 ", -   ," 100,000,000 "," 164,900,000 "," 264,900,000 ",Specific Investment Loan,B,N,Other
P002411,Western and Central Africa,Sierra Leone,SL POWER REHAB,Energy and Extractives,Power,1992-04-21,1992,1993,2002,1992-04-21,1993-05-24,2002-06-30,10.2," 36,200,000 "," 21,000,000 ", 0.63 , 0.37 ," 57,200,000 "," 69,900,000 ", -   ," 21,000,000 "," 36,200,000 "," 57,200,000 ",Sector Investment and Maintenance Loan,B,N,Other
P002428,Western and Central Africa,Sierra Leone,SL-URBAN WATER SUPPLY,"Water, Sanitation and Waste Management",Sanitation,1994-10-31,1995,1995,2005,1995-04-11,1995-08-14,2005-12-31,10.7, -   ," 36,000,000 ", -   , 1.00 ," 36,000,000 "," 46,500,000 ", -   ," 36,000,000 ", -   ," 36,000,000 ",Specific Investment Loan,B,N,IDA
P002757,Eastern and Southern Africa,Tanzania,TZ RAILWAYS RESTRUCTURI,Transportation,Roads and highways,1991-06-13,1991,1992,2002,1991-06-13,1992-04-30,2002-12-31,11.6," 89,600,000 "," 76,000,000 ", 0.54 , 0.46 ," 165,600,000 "," 213,200,000 ", -   ," 76,000,000 "," 89,600,000 "," 165,600,000 ",Specific Investment Loan,B,N,Other
P002929,Eastern and Southern Africa,Uganda,UG POWER III,Energy and Extractives,Power,1991-06-13,1991,1992,2001,1991-06-13,1992-10-08,2001-12-31,10.6," 155,940,000 "," 158,000,000 ", 0.50 , 0.50 ," 313,940,000 "," 333,609,984 ", -   ," 158,000,000 "," 114,530,000 "," 272,529,984 ",Specific Investment Loan,A,N,Other
P003609,East Asia and Pacific,China,SICHUAN GAS DEV & CONSERVATION,Energy and Extractives,Oil and Gas,1994-10-31,1994,1994,2003,1994-03-17,1994-12-14,2003-06-30,9.3, -   ," 255,000,000 ", -   , 1.00 ," 255,000,000 "," 945,200,000 "," 255,000,000 ", -   , -   ," 255,000,000 ",Specific Investment Loan,A,N,IBRD
P003614,East Asia and Pacific,China,CN-Guangzhou City Transport,Transportation,Roads and highways,1994-10-31,1998,1998,2007,1998-05-29,1998-09-23,2007-12-31,9.6, -   ," 180,000,000 ", -   , 1.00 ," 180,000,000 "," 550,000,000 "," 180,000,000 ", -   , -   ," 180,000,000 ",Specific Investment Loan,A,N,IBRD
P003619,East Asia and Pacific,China,CN-2nd Inland Waterways,Transportation,Ports/Waterways,1997-07-24,1998,1999,2006,1998-05-29,1999-03-16,2006-12-31,8.6," 166,300,000 "," 123,000,000 ", 0.57 , 0.43 ," 289,300,000 "," 289,300,000 "," 123,000,000 ", -   , -   ," 123,000,000 ",Specific Investment Loan,A,N,Other
P003642,East Asia and Pacific,China,CN-ZHEJIANG POWER DEVT,Energy and Extractives,Power,1994-10-31,1995,1995,2003,1995-02-28,1995-08-23,2003-12-31,8.8," 150,000,000 "," 400,000,000 ", 0.27 , 0.73 ," 550,000,000 "," 1,284,099,970 "," 400,000,000 ", -   , -   ," 400,000,000 ",Specific Investment Loan,A,N,IBRD
P003648,East Asia and Pacific,China,Second Shanghai Sewerage Project,"Water, Sanitation and Waste Management",Sanitation,1994-10-31,1996,1996,2004,1996-03-21,1996-08-09,2004-06-30,8.3, -   ," 250,000,000 ", -   , 1.00 ," 250,000,000 "," 511,100,000 "," 250,000,000 ", -   , -   ," 250,000,000 ",Specific Investment Loan,A,N,IBRD
P003653,East Asia and Pacific,China,China Container Transport Project,Transportation,Ports/Waterways,1997-09-19,1999,1999,2005,1999-03-16,1999-12-24,2005-06-30,6.3, -   ," 52,390,000 ", -   , 1.00 ," 52,390,000 "," 159,000,000 "," 52,390,000 ", -   , -   ," 52,390,000 ",Specific Investment Loan,B,N,IBRD
P003654,East Asia and Pacific,China,CN-Nat Hwy2/Hunan-Guangdong,Transportation,Roads and highways,1995-03-10,1996,1997,2004,1996-12-17,1997-11-24,2004-12-31,8.0, -   ," 400,000,000 ", -   , 1.00 ," 400,000,000 "," 1,150,000,000 "," 400,000,000 ", -   , -   ," 400,000,000 ",Specific Investment Loan,A,N,IBRD
P003979,East Asia and Pacific,Indonesia,RURAL ELECT II,Energy and Extractives,Power,1994-10-31,1995,1995,2000,1995-02-28,1995-07-19,2000-03-31,5.1, -   ," 398,000,000 ", -   , 1.00 ," 398,000,000 "," 841,299,970 "," 398,000,000 ", -   , -   ," 398,000,000 ",Specific Investment Loan,B,N,IBRD
P004026,East Asia and Pacific,Indonesia,Railway Efficiency Project,Transportation,Railways,1995-08-15,1996,1997,2009,1996-11-21,1997-06-13,2009-07-31,12.7, -   ," 105,000,000 ", -   , 1.00 ," 105,000,000 "," 207,000,000 "," 105,000,000 ", -   , -   ," 105,000,000 ",Specific Investment Loan,B,N,IBRD
P004571,East Asia and Pacific,Philippines,TRANSMISSION GRID REINFORCEMENT PROJECT,Energy and Extractives,Power,1994-12-30,1996,1996,2003,1996-04-04,1996-11-12,2003-12-31,7.7," 289,095,960 "," 184,684,048 ", 0.61 , 0.39 ," 473,780,008 "," 473,780,000 "," 184,684,048 ", -   ," 117,440,000 "," 302,124,032 ",Sector Investment and Maintenance Loan,B,N,Other
P004611,East Asia and Pacific,Philippines,MANILA SECOND SEWERAGE PROJECT,"Water, Sanitation and Waste Management",Sanitation,1994-10-31,1996,1998,2005,1996-05-21,1998-03-17,2005-06-30,9.1, -   ," 36,100,000 ", -   , 1.00 ," 36,100,000 "," 44,500,000 "," 36,100,000 ", -   , -   ," 36,100,000 ",Specific Investment Loan,A,N,IBRD
P005215,"Middle East, North Africa, Afghanistan, and Pakistan","Iran, Islamic Republic of",POWER SECTOR EFFICIENCY,Energy and Extractives,Power,1993-03-30,1993,1993,2000,1993-03-30,1993-07-27,2000-12-31,7.8, -   ," 165,000,000 ", -   , 1.00 ," 165,000,000 "," 295,000,000 "," 165,000,000 ", -   , -   ," 165,000,000 ",Specific Investment Loan,B,N,IBRD
P005284,"Middle East, North Africa, Afghanistan, and Pakistan",Jordan,TRANSPORT III,Transportation,Roads and highways,1993-03-11,1993,1994,2000,1993-03-11,1994-03-03,2000-06-30,7.3," 20,400,000 "," 35,000,000 ", 0.37 , 0.63 ," 55,400,000 "," 80,000,000 "," 35,000,000 ", -   ," 20,400,000 "," 55,400,000 ",Specific Investment Loan,B,N,Other
P005503,"Middle East, North Africa, Afghanistan, and Pakistan",Morocco,Morocco Second Sewerage and Water Reuse Project,"Water, Sanitation and Waste Management",Sewerage,1994-10-31,1996,1996,2005,1996-04-30,1996-08-30,2005-06-30,9.2," 12,000,000 "," 28,000,000 ", 0.30 , 0.70 ," 40,000,000 "," 40,000,000 "," 28,000,000 ", -   , -   ," 28,000,000 ",Specific Investment Loan,B,N,IBRD
P005589,"Middle East, North Africa, Afghanistan, and Pakistan",Tunisia,TN-SOLAR WATER HEATING,Energy and Extractives,Renewable energy,1994-11-02,1994,1995,2004,1994-11-02,1995-05-19,2004-06-30,9.7," 7,400,000 ", -   , 1.00 , -   ," 7,400,000 "," 20,900,000 ",  ,  ," 7,400,000 "," 7,400,000 ",Specific Investment Loan,B,N,Other
P005806,"Middle East, North Africa, Afghanistan, and Pakistan","Yemen, Republic of",RY-MULTIMODE TRANSPORT,Transportation,Roads and highways,1990-09-11,1990,1991,2001,1990-09-11,1991-03-21,2001-06-30,10.8, -   ," 30,000,000 ", -   , 1.00 ," 30,000,000 "," 46,500,000 ", -   ," 30,000,000 ", -   ," 30,000,000 ",Specific Investment Loan,B,N,IDA
P005977,Latin America and Caribbean,Argentina,WTR SUPPLY II,"Water, Sanitation and Waste Management",Water Supply,1990-12-18,1990,1992,2000,1990-12-18,1992-03-11,2000-04-30,9.4," 100,000,000 "," 100,000,000 ", 0.50 , 0.50 ," 200,000,000 "," 214,000,000 "," 100,000,000 ", -   ," 100,000,000 "," 200,000,000 ",Specific Investment Loan,B,N,Other
P006003,Latin America and Caribbean,Argentina,RD MAINT & REHAB SCT,Transportation,Roads and highways,1993-06-03,1993,1993,2000,1993-06-03,1993-12-30,2000-06-30,7.1, -   ," 340,000,000 ", -   , 1.00 ," 340,000,000 "," 756,000,000 "," 340,000,000 ", -   , -   ," 340,000,000 ",Specific Investment Loan,B,N,IBRD
P006036,Latin America and Caribbean,Argentina,YACYRETA II,Energy and Extractives,Power,1992-09-29,1992,1993,2000,1992-09-29,1993-01-13,2000-12-31,8.3," 404,600,000 "," 300,000,000 ", 0.57 , 0.43 ," 704,600,000 "," 1,490,000,000 "," 300,000,000 ", -   ," 130,000,000 "," 430,000,000 ",Specific Investment Loan,A,N,IBRD
P006492,Latin America and Caribbean,Brazil,HYDROCARBN TRNSP/PRO,Energy and Extractives,Oil and Gas,1991-06-26,1991,1993,2001,1991-06-26,1993-01-22,2001-12-31,10.5, -   ," 260,000,000 ", -   , 1.00 ," 260,000,000 "," 591,900,030 "," 260,000,000 ", -   , -   ," 260,000,000 ",Specific Investment Loan,A,N,IBRD
P006549,Latin America and Caribbean,Brazil,GAS SCTR DEV PROJECT,Energy and Extractives,Oil and Gas,1997-05-12,1997,1999,2000,1997-12-18,1999-05-17,2000-12-31,3.0," 380,000,000 "," 130,000,000 ", 0.75 , 0.25 ," 510,000,000 "," 2,086,000,000 "," 130,000,000 ", -   ," 380,000,000 "," 510,000,000 ",Specific Investment Loan,A,N,Other
P006661,Latin America and Caribbean,Chile,CL THIRD RD SCTR,Transportation,Roads and highways,1994-10-31,1994,1995,2002,1994-12-22,1995-10-02,2002-12-31,8.0, -   ," 120,000,000 ", -   , 1.00 ," 120,000,000 "," 3,228,900,100 "," 120,000,000 ", -   , -   ," 120,000,000 ",Specific Investment Loan,B,N,IBRD
P006887,Latin America and Caribbean,Colombia,CO POWER MARKET DEVELOP. & ENERGY (TA),Energy and Extractives,Power,1994-10-31,1995,1996,2008,1995-11-16,1996-06-26,2008-12-31,13.1, -   ," 249,300,000 ", -   , 1.00 ," 249,300,000 "," 249,300,000 "," 249,300,000 ", -   , -   ," 249,300,000 ",Sector Investment and Maintenance Loan,B,N,IBRD
P007257,Latin America and Caribbean,Guyana,Guyana Water Supply Technical Assistance and Rehabilitation Project,"Water, Sanitation and Waste Management",Water Supply,1993-12-21,1993,1994,2004,1993-12-21,1994-04-22,2004-03-27,10.3," 29,140,000 "," 17,500,000 ", 0.62 , 0.38 ," 46,640,000 "," 55,000,000 ", -   ," 17,500,000 "," 29,140,000 "," 46,640,000 ",Sector Investment and Maintenance Loan,B,N,Other
P007926,Latin America and Caribbean,Paraguay,PY ASUNCION SEWERAGE,"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1995,1995,2003,1995-02-14,1995-10-13,2003-12-31,8.9," 20,000,000 "," 46,500,000 ", 0.30 , 0.70 ," 66,500,000 "," 87,900,000 "," 46,500,000 ", -   ," 20,000,000 "," 66,500,000 ",Specific Investment Loan,A,N,IBRD
P008051,Latin America and Caribbean,Peru,PE LIMA WATER Rehabilit & Mgt. Proj.,"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1994,1995,2008,1994-11-22,1995-08-31,2008-06-30,13.6," 156,200,000 "," 150,000,000 ", 0.51 , 0.49 ," 306,200,000 "," 306,200,000 "," 150,000,000 ", -   ," 79,200,000 "," 229,200,000 ",Specific Investment Loan,B,N,Other
P008177,Latin America and Caribbean,Uruguay,Uruguay Power Transmission & Distribution Project,Energy and Extractives,Power,1994-10-31,1995,1997,2006,1995-10-31,1997-07-11,2006-03-31,10.4, -   ," 125,000,000 ", -   , 1.00 ," 125,000,000 "," 236,000,000 "," 125,000,000 ", -   , -   ," 125,000,000 ",Specific Investment Loan,B,N,IBRD
P008260,Europe and Central Asia,Albania,Durres Water Supply Rehabiliation Project,"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1994,1995,2001,1994-05-10,1995-01-04,2001-12-31,7.6, -   ," 11,600,000 ", -   , 1.00 ," 11,600,000 "," 17,100,000 ", -   ," 11,600,000 ", -   ," 11,600,000 ",Specific Investment Loan,B,N,IDA
P008287,Europe and Central Asia,Azerbaijan,GAS REHAB,Energy and Extractives,Oil and Gas,1995-03-30,1996,1997,2003,1996-09-19,1997-03-19,2003-06-30,6.8, -   ," 20,200,000 ", -   , 1.00 ," 20,200,000 "," 24,600,000 ", -   ," 20,200,000 ", -   ," 20,200,000 ",Specific Investment Loan,B,N,IDA
P008288,Europe and Central Asia,Azerbaijan,GREATER BAKU WATER SUPPLY REHABILITATION PROJECT,"Water, Sanitation and Waste Management",Water Supply,1995-04-17,1995,1996,2006,1995-06-28,1996-02-14,2006-01-31,10.6, -   ," 74,000,000 ", -   , 1.00 ," 74,000,000 "," 74,000,000 ", -   ," 74,000,000 ", -   ," 74,000,000 ",Specific Investment Loan,B,N,IDA
P008315,Europe and Central Asia,Bulgaria,RAILWAY REHAB,Transportation,Railways,1995-04-06,1995,1996,2002,1995-07-06,1996-03-01,2002-06-30,7.0," 76,500,000 "," 95,000,000 ", 0.45 , 0.55 ," 171,500,000 "," 300,500,000 "," 95,000,000 ", -   ," 76,500,000 "," 171,500,000 ",Specific Investment Loan,B,N,Other
P008316,Europe and Central Asia,Bulgaria,ENERGY I,Energy and Extractives,Power,1993-03-09,1993,1993,2000,1993-03-09,1993-08-11,2000-12-31,7.8, -   ," 93,000,000 ", -   , 1.00 ," 93,000,000 "," 126,000,000 "," 93,000,000 ", -   , -   ," 93,000,000 ",Specific Investment Loan,B,N,IBRD
P008319,Europe and Central Asia,Bulgaria,WATER COMPANIES REST,"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1994,1995,2002,1994-05-26,1995-10-10,2002-12-31,8.6, -   ," 57,000,000 ", -   , 1.00 ," 57,000,000 "," 80,000,000 "," 57,000,000 ", -   , -   ," 57,000,000 ",Specific Investment Loan,B,N,IBRD
P008479,Europe and Central Asia,Hungary,Energy Environment Project,Energy and Extractives,Power,1994-02-17,1994,1994,2001,1994-02-17,1994-04-15,2001-12-31,7.9," 47,400,000 "," 100,000,000 ", 0.32 , 0.68 ," 147,400,000 "," 242,500,000 "," 100,000,000 ", -   , -   ," 100,000,000 ",Specific Investment Loan,A,N,Other
P008507,Europe and Central Asia,Kazakhstan,Uzen Oil Field Rehabilitation Project,Energy and Extractives,Oil and Gas,1994-10-31,1996,1997,2007,1996-07-02,1997-01-16,2007-04-30,10.8, -   ," 109,000,000 ", -   , 1.00 ," 109,000,000 "," 136,000,000 "," 109,000,000 ", -   , -   ," 109,000,000 ",Specific Investment Loan,A,N,IBRD
P008555,Europe and Central Asia,Moldova,ENERGY,Energy and Extractives,Oil and Gas,1995-12-29,1996,1997,2001,1996-05-23,1997-01-31,2001-12-31,5.6," 1,945,000 "," 10,000,000 ", 0.16 , 0.84 ," 11,945,000 "," 11,945,000 "," 10,000,000 ", -   , -   ," 10,000,000 ",Specific Investment Loan,B,N,IBRD
P008595,Europe and Central Asia,Poland,Bielsko-Biala Water & Wastewater Project,"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1996,1997,2005,1996-06-04,1997-01-16,2005-07-31,9.2," 13,900,000 "," 21,500,000 ", 0.39 , 0.61 ," 35,400,000 "," 35,400,000 "," 21,500,000 ", -   ," 7,000,000 "," 28,500,000 ",Specific Investment Loan,B,N,IBRD
P008604,Europe and Central Asia,Poland,Power Transmission Project,Energy and Extractives,Power,1994-10-31,1995,1996,2004,1995-11-28,1996-03-08,2004-06-30,8.6, -   ," 160,000,000 ", -   , 1.00 ," 160,000,000 "," 275,700,000 "," 160,000,000 ", -   , -   ," 160,000,000 ",Specific Investment Loan,B,N,IBRD
P008615,Europe and Central Asia,Poland,Szczecin-Swinoujscie Seaway & Port Modernization Project,Transportation,Ports/Waterways,1997-02-10,2000,2001,2008,2000-12-12,2001-03-14,2008-06-30,7.6," 44,500,000 "," 38,500,000 ", 0.54 , 0.46 ," 83,000,000 "," 83,000,000 "," 38,500,000 ", -   , -   ," 38,500,000 ",Specific Investment Loan,A,N,IBRD
P008778,Europe and Central Asia,Romania,BUCHAREST WATER SUPPLY,"Water, Sanitation and Waste Management",Water Supply,1995-05-17,1996,1996,2001,1996-08-01,1996-11-25,2001-12-31,5.4, -   ," 25,000,000 ", -   , 1.00 ," 25,000,000 "," 50,000,000 "," 25,000,000 ", -   , -   ," 25,000,000 ",Specific Investment Loan,B,N,IBRD
P008794,Europe and Central Asia,Romania,Power Sector Rehabilitation & Modernization Project,Energy and Extractives,Power,1995-04-17,1995,1996,2004,1995-08-29,1996-01-24,2004-08-31,9.0," 189,340,000 "," 110,000,000 ", 0.63 , 0.37 ," 299,340,000 "," 469,100,000 "," 110,000,000 ", -   ," 189,340,000 "," 299,340,000 ",Specific Investment Loan,B,N,Other
P008803,Europe and Central Asia,Russian Federation,Energy Efficiency Project,Energy and Extractives,Oil and Gas,1994-10-31,1995,1996,2003,1995-05-02,1996-12-26,2003-01-31,7.8," 1,500,000 "," 26,550,000 ", 0.05 , 0.95 ," 28,050,000 "," 30,000,000 "," 26,550,000 ", -   ," 1,500,000 "," 28,050,000 ",Specific Investment Loan,B,N,IBRD
P008805,Europe and Central Asia,Russian Federation,Oil Rehabilitation 2 Project,Energy and Extractives,Oil and Gas,1994-10-31,1994,1995,2000,1994-06-29,1995-05-25,2000-12-31,6.5, -   ," 500,000,000 ", -   , 1.00 ," 500,000,000 "," 500,000,000 "," 500,000,000 ", -   , -   ," 500,000,000 ",Specific Investment Loan,A,N,IBRD
P008832,Europe and Central Asia,Russian Federation,Municipal Water & Wastewater Project,"Water, Sanitation and Waste Management",Water Supply,1997-04-14,2000,2002,2009,2000-12-21,2002-09-13,2009-04-30,8.4," 1,000,000 "," 122,500,000 ", 0.01 , 0.99 ," 123,500,000 "," 168,900,000 "," 122,500,000 ", -   ," 1,000,000 "," 123,500,000 ",Specific Investment Loan,B,N,IBRD
P008985,Europe and Central Asia,Turkiye,Cesme-Alacati Water Supply & Sewerage Project,"Water, Sanitation and Waste Management",Water Supply,1997-04-25,1998,1998,2004,1998-04-14,1998-09-07,2004-12-31,6.7, -   ," 13,100,000 ", -   , 1.00 ," 13,100,000 "," 24,000,000 "," 13,100,000 ", -   , -   ," 13,100,000 ",Specific Investment Loan,B,N,IBRD
P009071,Europe and Central Asia,Turkiye,TEK RESTRUCT,Energy and Extractives,Power,1991-06-13,1991,1992,2000,1991-06-13,1992-04-27,2000-12-31,9.6, -   ," 300,000,000 ", -   , 1.00 ," 300,000,000 "," 5,388,000,300 "," 300,000,000 ", -   , -   ," 300,000,000 ",Specific Investment Loan,B,N,IBRD
P009465,South Asia,Bangladesh,Second Road Rehabilitation & Maintenance,Transportation,Roads and highways,1994-10-31,1994,1994,2000,1994-06-28,1994-09-27,2000-12-31,6.5," 8,800,000 "," 146,800,000 ", 0.06 , 0.94 ," 155,600,000 "," 252,200,000 ", -   ," 146,800,000 "," 8,800,000 "," 155,600,000 ",Sector Investment and Maintenance Loan,B,N,IDA
P009482,South Asia,Bangladesh,Fourth Dhaka Water Supply Project,"Water, Sanitation and Waste Management",Sanitation,1994-10-31,1996,1997,2002,1996-12-19,1997-07-07,2002-06-30,5.5, -   ," 80,300,000 ", -   , 1.00 ," 80,300,000 "," 169,800,000 ", -   ," 80,300,000 ", -   ," 80,300,000 ",Specific Investment Loan,B,N,IDA
P009583,South Asia,India,ALTERNATE ENERGY,Energy and Extractives,Renewable energy,1992-11-30,1992,1993,2001,1992-11-30,1993-04-06,2001-12-31,9.1," 35,000,000 ", -   , 1.00 , -   ," 35,000,000 "," 35,000,000 ",  ,  ," 34,410,000 "," 34,410,000 ",Specific Investment Loan,A,Y,Other
P009982,South Asia,India,NORTHERN REGION TRANSMISSION PROJECT,Energy and Extractives,Power,1990-06-26,1990,1991,2000,1990-06-26,1991-01-10,2000-09-30,10.3," 1,100,000 "," 485,000,000 ", -   , 1.00 ," 486,100,000 "," 839,800,000 "," 485,000,000 ", -   ," 1,100,000 "," 486,100,000 ",Specific Investment Loan,B,N,IBRD
P010410,South Asia,India,RENEWABLE RESOURCES,Energy and Extractives,Renewable energy,1992-12-17,1992,1993,2001,1992-12-17,1993-04-06,2001-12-31,9.0," 213,810,000 "," 206,000,000 ", 0.51 , 0.49 ," 419,810,000 "," 420,000,000 "," 75,000,000 "," 105,000,000 "," 6,810,000 "," 186,810,000 ",Specific Investment Loan,A,N,Other
P010416,South Asia,India,POWERGRID SYSTEM DEVELOPMENT PROJECT,Energy and Extractives,Power,1993-03-23,1993,1993,2000,1993-03-23,1993-03-26,2000-12-31,7.8," 84,380,000 "," 350,000,000 ", 0.19 , 0.81 ," 434,380,000 "," 650,000,000 "," 350,000,000 ", -   ," 84,380,000 "," 434,380,000 ",Specific Investment Loan,B,N,Other
P010480,South Asia,India,BOMBAY SEWAGE DISPOSAL,"Water, Sanitation and Waste Management",Sanitation,1994-10-31,1995,1996,2003,1995-07-06,1996-03-22,2003-12-31,8.5, -   ," 170,000,000 ", -   , 1.00 ," 170,000,000 "," 273,200,000 "," 145,000,000 "," 25,000,000 ", -   ," 170,000,000 ",Specific Investment Loan,A,N,IBRD
P010498,South Asia,Sri Lanka,ENERGY SERVICES DLVY,Energy and Extractives,Power,1994-12-12,1997,1997,2002,1997-03-18,1997-07-22,2002-12-31,5.8," 25,200,000 "," 24,200,000 ", 0.51 , 0.49 ," 49,400,000 "," 55,300,000 ", -   ," 24,200,000 ", -   ," 24,200,000 ",Specific Investment Loan,B,N,Other
P034489,Eastern and Southern Africa,Malawi,MALAWI RAILWAYS REST,Transportation,Ports/Waterways,1994-10-31,1995,1995,2000,1995-03-28,1995-10-02,2000-03-31,5.0," 12,000,000 "," 16,200,000 ", 0.43 , 0.57 ," 28,200,000 "," 17,000,000 ", -   ," 16,200,000 "," 12,000,000 "," 28,200,000 ",Specific Investment Loan,B,N,Other
P035079,East Asia and Pacific,"Korea, Republic of",WASTE DISPOSAL PROJECT,"Water, Sanitation and Waste Management",Waste Management,1994-10-31,1994,1995,2001,1994-12-20,1995-10-27,2001-12-31,7.0," 230,100,000 "," 75,000,000 ", 0.75 , 0.25 ," 305,100,000 "," 305,100,000 "," 75,000,000 ", -   , -   ," 75,000,000 ",Specific Investment Loan,A,N,Other
P035173,South Asia,India,Second Powergrid System Development Project,Energy and Extractives,Power,1996-07-29,2001,2001,2006,2001-05-03,2001-11-21,2006-06-30,5.2," 864,000,000 "," 450,000,000 ", 0.66 , 0.34 ," 1,314,000,000 "," 1,314,000,000 "," 450,000,000 ", -   ," 175,000,000 "," 625,000,000 ",Specific Investment Loan,A,N,IBRD
